part,order,file,type,title,subsections,words,status,notes
Front matter,1,index.qmd,Front matter,Preface / book overview,Summary; Citation for book; Who should read this book?; Is the book up to date?; About Chris; Software you'll need for this workshop; Book overview; Data (Benthic cover surveys and fish habitat); How the book was written,1049,Complete,Book overview list needs a check that it names all 8 sections
Front matter,2,01-introduction.qmd,Chapter,Introduction,What we found when we tested LLMs on ecological statistics; What happens when you let the agent run the whole analysis; What this means for how you work,1340,Complete,
Front matter,3,02-setup.qmd,Chapter,Setup,"R packages; Options for AI software (Preferred option for R users; Option 2 for R users; Option 3: Positron assistant; Python users; Options 4+); Software options summary (VS Code/clones with GitHub Copilot; Ellmer; Gander; Aider; VS Code/clones with Cline; Positron Assistant; Claude Code, Codex and similar); Getting an API key; Github Copilot set-up; Ellmer set-up; Gander set-up",3390,Complete,Modified in working tree; may need a pointer to Section 8 local models
Section 1: Line-by-line code completion,4,section-1-line-by-line/index.qmd,Section intro,Section 1: Line-by-line code completion,(none),62,Complete,
Section 1: Line-by-line code completion,5,section-1-line-by-line/01-inline-completion.qmd,Module,Inline code completion,(none),380,Complete,Has Challenge callout
Section 1: Line-by-line code completion,6,section-1-line-by-line/02-comment-driven-completion.qmd,Module,Using comments to trigger inline code,(none),399,Complete,Has Challenge callout
Section 1: Line-by-line code completion,7,section-1-line-by-line/03-next-edit-suggestions.qmd,Module,Next edit suggestions,Start with ghost text; Turn on next edit suggestions; Drive it with comments,889,Complete,Has Challenge callout
Section 1: Line-by-line code completion,8,section-1-line-by-line/04-copilot-settings.qmd,Module,GH Copilot settings,Configure code completions; Next edit suggestions; Indexing; Premium requests bar; LLM choice; Bring Your Own API Key (BYOK),520,Complete,Has Challenge callout
Section 1: Line-by-line code completion,9,section-1-line-by-line/05-gander.qmd,Module,Gander: R package for code completion,(none),299,Complete,Has Challenge callout
Section 1: Line-by-line code completion,10,section-1-line-by-line/06-strengths-weaknesses.qmd,Module,Strengths and weaknesses of line-by-line completion,(none),585,Complete,Has Challenge callout
Section 2: Agents,11,section-2-agents/index.qmd,Section intro,Section 2: Agents,(none),72,Complete,
Section 2: Agents,12,section-2-agents/01-agent-options.qmd,Module,Agent options,VSCode or clones with GitHub Copilot's agent mode; GitHub Copilot CLI; Claude Code; Cline; Positron Assistant,612,Complete,Roo Code / Kilo Code coverage recently revised
Section 2: Agents,13,section-2-agents/02-how-agents-work.qmd,Module,How agents work,(none),343,Complete,
Section 2: Agents,14,section-2-agents/03-security-risks.qmd,Module,Security and data privacy risks,Lethal trifecta; Improving agent security,602,Complete,Overlaps Section 4; check for duplication
Section 2: Agents,15,section-2-agents/04-first-agent-example.qmd,Module,Your first agent example,Writing it up,407,Complete,
Section 2: Agents,16,section-2-agents/05-prompting-agents-part1.qmd,Module,Prompting agents I: giving context,Attaching data summaries; Attaching domain knowledge; Writing a metadata summary with the agent itself,352,Complete,
Section 2: Agents,17,section-2-agents/06-prompting-agents-part2.qmd,Module,Prompting agents II: web search and specification,Web search; From context to specification,339,Complete,
Section 2: Agents,18,section-2-agents/07-updating-existing-scripts.qmd,Module,Updating existing scripts with agents,Why so much code?; Staying on track,389,Complete,
Section 2: Agents,19,section-2-agents/08-reviewing-agent-output.qmd,Module,Reviewing agent output,What to actually check,348,Complete,
Section 2: Agents,20,section-2-agents/09-when-agents-get-stuck.qmd,Module,When agents get stuck,Context poisoning,395,Complete,
Section 3: AI in workflows,21,section-3-workflows/index.qmd,Section intro,Section 3: AI in workflows,(none),64,Complete,
Section 3: AI in workflows,22,section-3-workflows/01-select-statistical-approach.qmd,Module,Step 1: Select a statistical approach,"Choosing the method, before the code; Attaching data and domain knowledge",576,Complete,
Section 3: AI in workflows,23,section-3-workflows/02-plan-implementation.qmd,Module,Step 2: Plan implementation,Directory structure; The README as agent memory,556,Complete,
Section 3: AI in workflows,24,section-3-workflows/03-write-the-code.qmd,Module,Step 3: Write the code,Suggested workflows; Iterating,442,Complete,
Section 3: AI in workflows,25,section-3-workflows/04-specification-sheets.qmd,Module,Specification sheets,Case study: bumphead parrotfish 'Topa' in Solomon Islands; Project organisation; The README template; A full worked spec sheet; What a controlled study found,1949,Complete,Longest module; 'todo' match is inside the example spec text not an outstanding task
"Section 4: Security, data privacy and cloud agents",26,section-4-security-privacy/index.qmd,Section intro,"Section 4: Security, data privacy and cloud agents",(none),72,Complete,
"Section 4: Security, data privacy and cloud agents",27,section-4-security-privacy/01-security-risk-examples.qmd,Module,Security risk examples,The lethal trifecta; How easily you can cross the line; Why agents on your computer are riskier,520,Complete,Lethal trifecta also covered in Section 2 module 03
"Section 4: Security, data privacy and cloud agents",28,section-4-security-privacy/02-claude-code-web-example.qmd,Module,Claude Code for web example,What's actually happening; Why this changes the trifecta calculation; Trying it yourself,561,Complete,
"Section 4: Security, data privacy and cloud agents",29,section-4-security-privacy/03-bash-sandbox-example.qmd,Module,Bash sandbox example,A simple sandbox with Docker; The trade-off; Lighter-weight alternatives,446,Complete,
"Section 4: Security, data privacy and cloud agents",30,section-4-security-privacy/04-keeping-data-secure.qmd,Module,Keeping data secure from the cloud,Option 1: A locally hosted LLM; Option 2: Keep data separate from code development; Option 3: Ignore sensitive folders; Option 4: A no-data-retention provider,603,Complete,Option 1 should cross-link to Section 8
"Section 4: Security, data privacy and cloud agents",31,section-4-security-privacy/05-limitations.qmd,Module,Limitations,(none),267,Complete,Shortest module in the section
Section 5: Customizing agents,32,section-5-customizing-agents/index.qmd,Section intro,Section 5: Customizing agents,(none),83,Complete,
Section 5: Customizing agents,33,section-5-customizing-agents/01-what-is-customization.qmd,Module,What is agent customization?,Skills: saved instructions invoked by name; Sub-agents: delegating to a specialized role,371,Complete,
Section 5: Customizing agents,34,section-5-customizing-agents/02-claude-code-skills-example.qmd,Module,Claude Code skills as a worked example,"What's actually in a skill; Other systems, same idea",299,Complete,
Section 5: Customizing agents,35,section-5-customizing-agents/03-skill-for-analysis.qmd,Module,Writing a skill for analysis,From spec sheet to skill,343,Complete,
Section 5: Customizing agents,36,section-5-customizing-agents/04-subagents-plotting-and-methods.qmd,Module,Sub-agents for plotting and writing methods,Splitting the task; Why scope the context narrowly,389,Complete,todo.md wants a new module on parallel subagents + evaluation; would sit after this one
Section 6: Agentic engineering for data analysis,37,section-6-agentic-engineering/index.qmd,Section intro,Section 6: Agentic engineering for data analysis,(none),51,Complete,
Section 6: Agentic engineering for data analysis,38,section-6-agentic-engineering/01-tests-verification-principles.qmd,Module,"Tests, verification and output-checking principles",Why this matters more with agents; General principles; A concrete habit,543,Complete,
Section 6: Agentic engineering for data analysis,39,section-6-agentic-engineering/02-red-green-tdd.qmd,Module,Red-green TDD for data analysis,What 'red' looks like for an analysis; Getting to green; Why the direction of a coefficient is a good first test,459,Complete,
Section 6: Agentic engineering for data analysis,40,section-6-agentic-engineering/03-simulated-data-verification.qmd,Module,Using simulated data as a verification step,Simulating fake topa counts; What 'recovers the truth' means here; Handing this to an agent,501,Complete,
Section 7: LLM access via API,41,section-7-api-access/index.qmd,Section intro,Section 7: LLM access via API,(none),64,Complete,
Section 7: LLM access via API,42,section-7-api-access/01-api-keys.qmd,Module,API keys,(none),267,Complete,Duplicates the 'Getting an API key' part of 02-setup.qmd
Section 7: LLM access via API,43,section-7-api-access/02-how-api-access-works.qmd,Module,How API access works with ellmer,What is an Application Programming Interface?; Your first API call; Temperature and top_k; Navigating OpenRouter; Comparing model complexity; Understanding context windows; API errors,863,Complete,
Section 7: LLM access via API,44,section-7-api-access/03-chat-basics.qmd,Module,Chat: multi-turn conversations,(none),361,Complete,
Section 7: LLM access via API,45,section-7-api-access/04-diy-chatbot.qmd,Module,DIY chatbot,Multi-turn with the stats bot; Improving the stats bot,362,Complete,
Section 7: LLM access via API,46,section-7-api-access/05-make-an-agent.qmd,Module,Make an agent: simple read-and-write agent,Three tools; Wiring them to a chat; Making it safer,663,Complete,
Section 7: LLM access via API,47,section-7-api-access/06-lit-review-example.qmd,Module,Literature review example,Batch processing; Reflections,620,Complete,
Section 8: Running local models,48,section-8-local-models/index.qmd,Section intro,Section 8: Running local models,(none),41,Complete,
Section 8: Running local models,49,section-8-local-models/01-what-youll-need.qmd,Module,What you'll need,Ollama; The commands you need,413,Complete,Challenge written (todo.md entry now stale)
Section 8: Running local models,50,section-8-local-models/02-performance-and-hardware.qmd,Module,Performance and hardware,(none),354,Complete,Challenge written (todo.md entry now stale)
Section 8: Running local models,51,section-8-local-models/03-choosing-a-model.qmd,Module,Choosing a model,(none),225,Complete,Shortest module in the book; challenge written
Section 8: Running local models,52,section-8-local-models/04-autocomplete.qmd,Module,Autocomplete and agentic coding,(none),264,Complete,Challenge written; title says 'and agentic coding' but that is module 05 — consider renaming
Section 8: Running local models,53,section-8-local-models/05-agentic-programming.qmd,Module,Agentic programming,(none),266,Complete,Challenge written
Section 8: Running local models,54,section-8-local-models/06-processing-files-in-r.qmd,Module,Processing files and literature in R,(none),388,Complete,Challenge written
Back matter,55,99-appendix.qmd,Chapter,Appendix — Code and data,(none),24,Stub,"Placeholder only. todo.md wants intro to markdown + intro to Quarto, brief with external links"
Planned,56,(not created),Module,Parallel sub-agents and comparing their output,(planned),0,Not started,"From todo.md: run multiple subagents on the same task independently, then compare; ideally give them test data to evaluate performance. Belongs in Section 5"
